STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
,,,10/11/2023,,,"229,197,209.932"
EDV,2023-10-11,WORST,2023-10-17,0.0000000000,-583829.9740000000,-583829.9740000000,
EDV,2023-10-11,WORST,2043-08-17,0.0000000000,101561.2290000000,101561.2290000000,
EDV,2023-10-11,WORST,2043-11-16,0.0000000000,5340585.5110000000,5340585.5110000000,
EDV,2023-10-11,WORST,2044-02-16,0.0000000000,6407536.4480000000,6407536.4480000000,
EDV,2023-10-11,WORST,2044-05-16,0.0000000000,5298334.7650000000,5298334.7650000000,
EDV,2023-10-11,WORST,2044-08-15,0.0000000000,7246857.2140000000,7246857.2140000000,
EDV,2023-10-11,WORST,2044-11-15,0.0000000000,5978697.0610000000,5978697.0610000000,
EDV,2023-10-11,WORST,2045-02-15,0.0000000000,4882546.4170000000,4882546.4170000000,
EDV,2023-10-11,WORST,2045-05-15,0.0000000000,6020287.2840000000,6020287.2840000000,
EDV,2023-10-11,WORST,2045-08-15,0.0000000000,6734905.7120000000,6734905.7120000000,
EDV,2023-10-11,WORST,2045-11-15,0.0000000000,7025877.8360000000,7025877.8360000000,
EDV,2023-10-11,WORST,2046-02-15,0.0000000000,4343946.1960000000,4343946.1960000000,
EDV,2023-10-11,WORST,2046-05-15,0.0000000000,3438163.0680000000,3438163.0680000000,
EDV,2023-10-11,WORST,2046-08-15,0.0000000000,5777077.8640000000,5777077.8640000000,
EDV,2023-10-11,WORST,2046-11-15,0.0000000000,5690982.0020000000,5690982.0020000000,
EDV,2023-10-11,WORST,2047-02-15,0.0000000000,5405772.3780000000,5405772.3780000000,
EDV,2023-10-11,WORST,2047-05-15,0.0000000000,4205167.8660000000,4205167.8660000000,
EDV,2023-10-11,WORST,2047-08-15,0.0000000000,4598498.4040000000,4598498.4040000000,
EDV,2023-10-11,WORST,2047-11-15,0.0000000000,6415758.8300000000,6415758.8300000000,
EDV,2023-10-11,WORST,2048-02-18,0.0000000000,6555994.8670000000,6555994.8670000000,
EDV,2023-10-11,WORST,2048-05-15,0.0000000000,4744975.2520000000,4744975.2520000000,
EDV,2023-10-11,WORST,2048-08-17,0.0000000000,4693431.6190000000,4693431.6190000000,
EDV,2023-10-11,WORST,2048-11-16,0.0000000000,4531603.2860000000,4531603.2860000000,
EDV,2023-10-11,WORST,2049-02-16,0.0000000000,6421999.6410000000,6421999.6410000000,
EDV,2023-10-11,WORST,2049-05-17,0.0000000000,3596119.3640000000,3596119.3640000000,
EDV,2023-10-11,WORST,2049-08-16,0.0000000000,7407637.8190000000,7407637.8190000000,
EDV,2023-10-11,WORST,2049-11-15,0.0000000000,6764059.8660000000,6764059.8660000000,
EDV,2023-10-11,WORST,2050-02-15,0.0000000000,5728654.6360000000,5728654.6360000000,
EDV,2023-10-11,WORST,2050-05-16,0.0000000000,4084497.0000000000,4084497.0000000000,
EDV,2023-10-11,WORST,2050-08-15,0.0000000000,9964434.3640000000,9964434.3640000000,
EDV,2023-10-11,WORST,2050-11-15,0.0000000000,5469159.8870000000,5469159.8870000000,
EDV,2023-10-11,WORST,2051-02-15,0.0000000000,9224169.3910000000,9224169.3910000000,
EDV,2023-10-11,WORST,2051-05-15,0.0000000000,5159738.6490000000,5159738.6490000000,
EDV,2023-10-11,WORST,2051-08-15,0.0000000000,5794433.6960000000,5794433.6960000000,
EDV,2023-10-11,WORST,2051-11-15,0.0000000000,7857500.0840000000,7857500.0840000000,
EDV,2023-10-11,WORST,2052-02-15,0.0000000000,6708689.7500000000,6708689.7500000000,
EDV,2023-10-11,WORST,2052-05-15,0.0000000000,7367186.4300000000,7367186.4300000000,
EDV,2023-10-11,WORST,2052-08-15,0.0000000000,6688509.6090000000,6688509.6090000000,
EDV,2023-10-11,WORST,2052-11-15,0.0000000000,5317467.1780000000,5317467.1780000000,
EDV,2023-10-11,WORST,2053-02-18,0.0000000000,3992410.8710000000,3992410.8710000000,
EDV,2023-10-11,WORST,2053-05-15,0.0000000000,3259092.7870000000,3259092.7870000000,
EDV,2023-10-11,WORST,2053-08-15,0.0000000000,3536717.7750000000,3536717.7750000000,


"**For more information about Vanguard funds or Vanguard ETFs, visit vanguard.com or call 1-800-523-1036 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information are contained in the prospectus; read and consider it carefully before investing.**"
"**Vanguard ETF Shares are not redeemable with the issuing Fund other than in very large aggregations worth millions of dollars. Instead, investors must buy or sell Vanguard ETF Shares in the secondary market and hold those shares in a brokerage account. In doing so, the investor may incur brokerage commissions and may pay more than net asset value when buying and receive less than net asset value when selling.**"
"All investing is subject to risk, including the possible loss of the money you invest."
"The Vanguard Group, Inc. All rights reserved. Vanguard Marketing Corporation, Distributor of the Vanguard Funds."
