Holdings details

Large-Cap ETF (VV)


Equity,as of 08/31/2023

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2046251,Apple Inc.,AAPL,7.25%,"Technology Hardware, Storage & Periphera",US,---,"$3,081,502,543.31","16,402,313"
,2588173,Microsoft Corp.,MSFT,6.30%,Systems Software,US,---,"$2,675,203,996.32","8,162,082"
,2000019,Amazon.com Inc.,AMZN,3.11%,Broadline Retail,US,---,"$1,321,255,710.23","9,573,623"
,2379504,NVIDIA Corp.,NVDA,3.00%,Semiconductors,US,---,"$1,272,898,024.30","2,579,066"
,BYVY8G0,Alphabet Inc.,GOOGL,2.09%,Interactive Media & Services,US,---,"$888,024,757.14","6,521,442"
,B616C79,Tesla Inc.,TSLA,1.80%,Automobile Manufacturers,US,---,"$763,247,856.64","2,957,408"
,BYY88Y7,Alphabet Inc.,GOOG,1.77%,Interactive Media & Services,US,---,"$752,807,246.35","5,480,941"
,B7TL820,Meta Platforms Inc.,META,1.69%,Interactive Media & Services,US,---,"$718,520,043.15","2,428,335"
,2073390,Berkshire Hathaway Inc.,BRK.B,1.63%,Multi-Sector Holdings,US,---,"$693,246,323.00","1,924,615"
,2516152,Eli Lilly & Co.,LLY,1.22%,Pharmaceuticals,US,---,"$519,744,277.60","937,828"
,2326618,Exxon Mobil Corp.,XOM,1.16%,Integrated Oil & Gas,US,---,"$493,428,085.38","4,437,702"
,2917766,UnitedHealth Group Inc.,UNH,1.15%,Managed Health Care,US,---,"$487,065,236.58","1,022,001"
,2190385,JPMorgan Chase & Co.,JPM,1.10%,Diversified Banks,US,---,"$469,390,935.48","3,207,756"
,2475833,Johnson & Johnson,JNJ,1.01%,Pharmaceuticals,US,---,"$427,387,822.24","2,643,418"
,BDZ78H9,Broadcom Inc.,AVGO,0.99%,Semiconductors,US,---,"$422,365,222.95","457,655"
,B2PZN04,Visa Inc.,V,0.94%,Transaction & Payment Processing Service,US,---,"$399,416,962.48","1,625,761"
,2704407,Procter & Gamble Co.,PG,0.94%,Household Products,US,---,"$399,307,521.96","2,587,194"
,B121557,Mastercard Inc.,MA,0.90%,Transaction & Payment Processing Service,US,---,"$383,121,797.60","928,465"
,2434209,Home Depot Inc.,HD,0.86%,Home Improvement Retail,US,---,"$364,517,098.20","1,103,594"
,2838555,Chevron Corp.,CVX,0.75%,Integrated Oil & Gas,US,---,"$320,446,265.40","1,989,114"
,2778844,Merck & Co. Inc.,MRK,0.71%,Pharmaceuticals,US,---,"$303,547,769.94","2,785,353"
,B92SR70,AbbVie Inc.,ABBV,0.67%,Biotechnology,US,---,"$284,620,224.24","1,936,719"
,2008154,Adobe Inc.,ADBE,0.66%,Application Software,US,---,"$281,651,182.28","503,542"
,2681511,PepsiCo Inc.,PEP,0.63%,Soft Drinks & Non-alcoholic Beverages,US,---,"$269,031,586.56","1,512,093"
