STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
,,,10/10/2023,,,"229,004,315.52"
EDV,2023-10-10,WORST,2023-10-16,0.0000000000,-539948.5950000000,-539948.5950000000,
EDV,2023-10-10,WORST,2043-08-17,0.0000000000,102436.1670000000,102436.1670000000,
EDV,2023-10-10,WORST,2043-11-16,0.0000000000,5341681.9640000000,5341681.9640000000,
EDV,2023-10-10,WORST,2044-02-16,0.0000000000,6375646.3020000000,6375646.3020000000,
EDV,2023-10-10,WORST,2044-05-16,0.0000000000,5343979.2540000000,5343979.2540000000,
EDV,2023-10-10,WORST,2044-08-15,0.0000000000,7219854.4760000000,7219854.4760000000,
EDV,2023-10-10,WORST,2044-11-15,0.0000000000,5963811.1020000000,5963811.1020000000,
EDV,2023-10-10,WORST,2045-02-15,0.0000000000,4885164.4710000000,4885164.4710000000,
EDV,2023-10-10,WORST,2045-05-15,0.0000000000,5993652.9010000000,5993652.9010000000,
EDV,2023-10-10,WORST,2045-08-15,0.0000000000,6753872.1480000000,6753872.1480000000,
EDV,2023-10-10,WORST,2045-11-15,0.0000000000,6982521.4340000000,6982521.4340000000,
EDV,2023-10-10,WORST,2046-02-15,0.0000000000,4339581.0400000000,4339581.0400000000,
EDV,2023-10-10,WORST,2046-05-15,0.0000000000,3467782.4120000000,3467782.4120000000,
EDV,2023-10-10,WORST,2046-08-15,0.0000000000,5776076.5530000000,5776076.5530000000,
EDV,2023-10-10,WORST,2046-11-15,0.0000000000,5678694.4250000000,5678694.4250000000,
EDV,2023-10-10,WORST,2047-02-15,0.0000000000,5401572.3180000000,5401572.3180000000,
EDV,2023-10-10,WORST,2047-05-15,0.0000000000,4190624.7490000000,4190624.7490000000,
EDV,2023-10-10,WORST,2047-08-15,0.0000000000,4595154.5660000000,4595154.5660000000,
EDV,2023-10-10,WORST,2047-11-15,0.0000000000,6385111.1380000000,6385111.1380000000,
EDV,2023-10-10,WORST,2048-02-18,0.0000000000,6514839.1110000000,6514839.1110000000,
EDV,2023-10-10,WORST,2048-05-15,0.0000000000,4746798.6870000000,4746798.6870000000,
EDV,2023-10-10,WORST,2048-08-17,0.0000000000,4733864.9440000000,4733864.9440000000,
EDV,2023-10-10,WORST,2048-11-16,0.0000000000,4570642.4810000000,4570642.4810000000,
EDV,2023-10-10,WORST,2049-02-16,0.0000000000,6391796.2520000000,6391796.2520000000,
EDV,2023-10-10,WORST,2049-05-17,0.0000000000,3627099.4820000000,3627099.4820000000,
EDV,2023-10-10,WORST,2049-08-16,0.0000000000,7375771.5570000000,7375771.5570000000,
EDV,2023-10-10,WORST,2049-11-15,0.0000000000,6708684.4510000000,6708684.4510000000,
EDV,2023-10-10,WORST,2050-02-15,0.0000000000,5719425.3790000000,5719425.3790000000,
EDV,2023-10-10,WORST,2050-05-16,0.0000000000,4119684.4300000000,4119684.4300000000,
EDV,2023-10-10,WORST,2050-08-15,0.0000000000,9915540.6510000000,9915540.6510000000,
EDV,2023-10-10,WORST,2050-11-15,0.0000000000,5472926.1490000000,5472926.1490000000,
EDV,2023-10-10,WORST,2051-02-15,0.0000000000,9169679.4670000000,9169679.4670000000,
EDV,2023-10-10,WORST,2051-05-15,0.0000000000,5204189.1510000000,5204189.1510000000,
EDV,2023-10-10,WORST,2051-08-15,0.0000000000,5786161.6570000000,5786161.6570000000,
EDV,2023-10-10,WORST,2051-11-15,0.0000000000,7847083.5980000000,7847083.5980000000,
EDV,2023-10-10,WORST,2052-02-15,0.0000000000,6727039.7990000000,6727039.7990000000,
EDV,2023-10-10,WORST,2052-05-15,0.0000000000,7338486.5380000000,7338486.5380000000,
EDV,2023-10-10,WORST,2052-08-15,0.0000000000,6705514.1910000000,6705514.1910000000,
EDV,2023-10-10,WORST,2052-11-15,0.0000000000,5287511.8630000000,5287511.8630000000,
EDV,2023-10-10,WORST,2053-02-18,0.0000000000,3970176.7890000000,3970176.7890000000,
EDV,2023-10-10,WORST,2053-05-15,0.0000000000,3287169.4630000000,3287169.4630000000,
EDV,2023-10-10,WORST,2053-08-15,0.0000000000,3526960.6050000000,3526960.6050000000,


"**For more information about Vanguard funds or Vanguard ETFs, visit vanguard.com or call 1-800-523-1036 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information are contained in the prospectus; read and consider it carefully before investing.**"
"**Vanguard ETF Shares are not redeemable with the issuing Fund other than in very large aggregations worth millions of dollars. Instead, investors must buy or sell Vanguard ETF Shares in the secondary market and hold those shares in a brokerage account. In doing so, the investor may incur brokerage commissions and may pay more than net asset value when buying and receive less than net asset value when selling.**"
"All investing is subject to risk, including the possible loss of the money you invest."
"The Vanguard Group, Inc. All rights reserved. Vanguard Marketing Corporation, Distributor of the Vanguard Funds."
